Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Month,Calendar_Year
200597AB00809,258670,665140,-4.259601,55.858713,97,3,2,1,01/09/2005,5,14:50:00,926,S12000043,6,0,6,30,6,2,6,0,0,5,1,1,1,0,0,1,2,,9,2005
200597AB00810,258800,665650,-4.257791,55.863329,97,3,1,1,02/10/2005,1,03:40:00,926,S12000043,6,0,3,30,6,2,6,0,0,4,4,1,1,0,0,1,1,,10,2005
200597AB00901,258970,664910,-4.254692,55.856735,97,3,1,1,08/01/2005,7,14:30:00,926,S12000043,6,0,2,30,3,2,6,0,0,5,1,4,2,0,0,1,1,,1,2005
200597AB00911,258680,665590,-4.259676,55.862756,97,3,1,1,04/11/2005,6,10:50:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,1,1,1,0,0,1,2,,11,2005
200597AB01003,258740,665360,-4.258598,55.860708,97,3,1,1,02/03/2005,4,16:00:00,926,S12000043,6,0,6,30,9,4,6,0,0,1,1,1,1,0,0,1,2,,3,2005
200597AB01004,258960,665520,-4.255169,55.862209,97,3,1,1,08/04/2005,6,12:33:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,1,1,1,0,0,1,1,,4,2005
200597AB01009,259090,664730,-4.252683,55.855155,97,3,2,4,07/09/2005,4,19:55:00,926,S12000043,6,0,9,30,3,2,6,0,0,5,4,2,2,0,0,1,1,,9,2005
200597AB01101,258830,665100,-4.257026,55.8584,97,3,1,1,08/01/2005,7,03:15:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,4,5,2,0,0,1,1,,1,2005
200597AB01106,258680,665590,-4.259676,55.862756,97,3,2,1,10/06/2005,6,13:20:00,926,S12000043,6,0,2,30,6,4,6,0,0,0,1,1,1,0,0,1,1,,6,2005
200597AB01108,258870,665500,-4.256596,55.862003,97,2,1,2,05/08/2005,6,19:25:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,1,1,1,0,0,1,1,,8,2005
200597AB01112,258840,665090,-4.256861,55.858313,97,3,1,2,02/12/2005,6,10:30:00,926,S12000043,3,77,9,30,6,2,6,0,0,4,1,2,2,0,0,1,2,,12,2005
200597AB01201,258900,665620,-4.256179,55.863089,97,3,2,1,09/01/2005,1,11:11:00,926,S12000043,6,0,6,30,6,2,6,0,0,0,1,4,2,0,0,1,2,,1,2005
200597AB01202,259380,665610,-4.248511,55.86314,97,3,1,1,04/02/2005,6,01:30:00,926,S12000043,6,0,3,30,3,4,6,0,0,0,4,9,2,0,0,1,2,,2,2005
200597AB01203,259030,665490,-4.254036,55.86196,97,3,1,1,09/03/2005,4,14:40:00,926,S12000043,6,0,3,30,8,4,6,0,0,4,1,1,1,0,0,1,1,,3,2005
200597AB01205,258890,665520,-4.256287,55.862189,97,3,1,1,14/05/2005,7,16:10:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,1,1,1,0,0,1,1,,5,2005
200597AB01208,259510,665970,-4.246622,55.86641,97,3,2,1,06/08/2005,7,08:55:00,926,S12000043,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,,8,2005
200597AB01209,259400,665610,-4.248191,55.863146,97,3,1,2,06/09/2005,3,11:30:00,926,S12000043,6,0,3,30,6,2,6,0,0,0,1,1,1,0,0,1,1,,9,2005
200597AB01210,258860,665450,-4.256729,55.861551,97,2,1,1,08/10/2005,7,03:35:00,926,S12000043,6,0,6,30,6,2,6,0,0,5,4,2,2,0,0,1,1,,10,2005
200597AB01211,259760,666310,-4.242806,55.869535,97,3,2,3,05/11/2005,7,14:20:00,926,S12000043,1,8,3,50,0,-1,-1,0,0,0,1,1,1,0,0,1,2,,11,2005
200597AB01305,259360,665240,-4.248638,55.859812,97,3,1,1,15/05/2005,1,03:45:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,,5,2005
200597AB01307,259560,664920,-4.24528,55.856998,97,3,3,1,06/07/2005,4,12:05:00,926,S12000043,6,0,3,30,6,2,6,0,2,0,1,1,1,0,0,1,2,,7,2005
200597AB01309,259370,665800,-4.248769,55.864843,97,3,2,1,10/09/2005,7,14:10:00,926,S12000043,6,0,3,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,,9,2005
200597AB01401,258970,665520,-4.25501,55.862212,97,3,1,1,10/01/2005,2,11:05:00,926,S12000043,6,0,2,30,7,2,6,0,0,5,1,1,1,0,0,1,2,,1,2005
200597AB01407,259330,665120,-4.249055,55.858726,97,3,2,2,07/07/2005,5,13:01:00,926,S12000043,6,0,9,30,0,-1,-1,0,2,5,1,1,1,0,0,1,1,,7,2005
